tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
cartilage	3	n_bin4	250	1000	250-1000 Kb	#49bcbc
cartilage	0	n_bin5	1000	30000	> 1000Kb	#96ced3
kidney	12	n_bin1	0	10	0-10 Kb	#003648
kidney	29	n_bin2	10	100	10-100 Kb	#006479
kidney	3	n_bin3	100	250	100-250 Kb	#0096a0
kidney	2	n_bin4	250	1000	250-1000 Kb	#49bcbc
kidney	0	n_bin5	1000	30000	> 1000Kb	#96ced3
T_CD4_pos_naive	26	n_bin1	0	10	0-10 Kb	#003648
T_CD4_pos_naive	53	n_bin2	10	100	10-100 Kb	#006479
T_CD4_pos_naive	17	n_bin3	100	250	100-250 Kb	#0096a0
T_CD4_pos_naive	9	n_bin4	250	1000	250-1000 Kb	#49bcbc
T_CD4_pos_naive	0	n_bin5	1000	30000	> 1000Kb	#96ced3
synovium	7	n_bin1	0	10	0-10 Kb	#003648
synovium	17	n_bin2	10	100	10-100 Kb	#006479
synovium	2	n_bin3	100	250	100-250 Kb	#0096a0
synovium	5	n_bin4	250	1000	250-1000 Kb	#49bcbc
synovium	0	n_bin5	1000	30000	> 1000Kb	#96ced3
dendritic	10	n_bin1	0	10	0-10 Kb	#003648
dendritic	21	n_bin2	10	100	10-100 Kb	#006479
dendritic	2	n_bin3	100	250	100-250 Kb	#0096a0
dendritic	2	n_bin4	250	1000	250-1000 Kb	#49bcbc
dendritic	0	n_bin5	1000	30000	> 1000Kb	#96ced3
monocyte_CD14_pos	21	n_bin1	0	10	0-10 Kb	#003648
monocyte_CD14_pos	22	n_bin2	10	100	10-100 Kb	#006479
monocyte_CD14_pos	4	n_bin3	100	250	100-250 Kb	#0096a0
monocyte_CD14_pos	8	n_bin4	250	1000	250-1000 Kb	#49bcbc
monocyte_CD14_pos	0	n_bin5	1000	30000	> 1000Kb	#96ced3
B_memory	17	n_bin1	0	10	0-10 Kb	#003648
B_memory	29	n_bin2	10	100	10-100 Kb	#006479
B_memory	11	n_bin3	100	250	100-250 Kb	#0096a0
B_memory	6	n_bin4	250	1000	250-1000 Kb	#49bcbc
B_memory	0	n_bin5	1000	30000	> 1000Kb	#96ced3
neuron_progenitor	50	n_bin1	0	10	0-10 Kb	#003648
neuron_progenitor	77	n_bin2	10	100	10-100 Kb	#006479
neuron_progenitor	13	n_bin3	100	250	100-250 Kb	#0096a0
neuron_progenitor	9	n_bin4	250	1000	250-1000 Kb	#49bcbc
neuron_progenitor	0	n_bin5	1000	30000	> 1000Kb	#96ced3
neuron	12	n_bin1	0	10	0-10 Kb	#003648
neuron	29	n_bin2	10	100	10-100 Kb	#006479
