cluster	model	AUPRC	AUPRC_95CI_low	AUPRC_95CI_high	precision_70_pct_recall	precision_70_pct_recall_95CI_low	precision_70_pct_recall_95CI_high	threshold_70_pct_recall	precision_50_pct_recall	precision_50_pct_recall_95CI_low	precision_50_pct_recall_95CI_high	threshold_50_pct_recall	precision_model_threshold	precision_model_threshold_95CI_low	precision_model_threshold_95CI_high	recall_model_threshold	recall_model_threshold_95CI_low	recall_model_threshold_95CI_high	pct_missing_pos	pct_missing_neg	pct_missing_total
200_cells_30000_atac	scATAC_powerlaw_v2	0.5784644415342002	0.5289227013178758	0.6236747471252788	0.4875512094872208	0.45286670473831897	0.5267264736910494	0.13795857527226	0.645696250443126	0.5971452562680403	0.6958904109589041	0.345862623561567	0.5355366179270454	0.49093361754242315	0.5724724297054128	0.6552530248982995	0.6086514202052682	0.6956549893429796	0.09978768577494693	0.18219524532119372	0.17844727694090382
5000_cells_1000_atac	scATAC_powerlaw_v2	0.5773907357357646	0.5280784002509307	0.6222032905566836	0.4855668110736074	0.444816301122942	0.5222609845502028	0.141891626494395	0.6542080776382028	0.6090856221903583	0.7040207097581136	0.346518197581634	0.5389052496146097	0.49572706278960343	0.5768227076954189	0.6681552992458735	0.6255122790022729	0.709813157926596	0.10828025477707007	0.18654527061203843	0.18298570876786405
5000_cells_1000_atac	multiome_powerlaw_v2_noTPMfilter	0.5768621859455766	0.5281907856004541	0.622630665280631	0.4758409810714336	0.4392215692035228	0.5119081092231869	0.10967913497522	0.6477153161130919	0.594884497566031	0.6973860002130287	0.305825813637688	0.5517846086463377	0.5096210110200872	0.5928184390941216	0.6476003325827406	0.6049457872364589	0.6916249714171716	0.10828025477707007	0.18654527061203843	0.18298570876786405
500_cells_10000_atac	scATAC_powerlaw_v2	0.5766930008762997	0.5272516548301418	0.6252324050507351	0.4681948395313937	0.43371936181120857	0.5066774720960009	0.125296690915264	0.6657048161293836	0.6186880843488319	0.7100799977793706	0.35768183354371	0.536709335137088	0.4972220669457224	0.5799905002147805	0.6553598479317208	0.6128404245799541	0.6968421052631579	0.11040339702760085	0.19656044511886697	0.19264194669756662
500_cells_10000_atac	multiome_powerlaw_v2_noTPMfilter	0.576122005208618	0.5276196962702031	0.6263722535934366	0.46291877376760227	0.42424550063370886	0.5012093794965939	0.0983007752800501	0.6595108842523429	0.6094815250878155	0.7039313178513953	0.310417129185336	0.5538532862650084	0.5103985195564308	0.5930122297310566	0.6444250929700381	0.5951374268543849	0.686803148451893	0.11040339702760085	0.19656044511886697	0.19264194669756662
200_cells_30000_atac	multiome_powerlaw_v2_noTPMfilter	0.5757835484241061	0.5308110436929331	0.6255664831400235	0.4894283237222419	0.4500177885250186	0.5280589387249018	0.108903160412511	0.6518517307190562	0.6007802475073698	0.702142210523074	0.303986457678617	0.5388267446928483	0.4991955249290697	0.5784832451499118	0.6407577479735018	0.5983560147985437	0.685370593918994	0.09978768577494693	0.18219524532119372	0.17844727694090382
5000_cells_2000_atac	multiome_powerlaw_v2	0.5757140859216027	0.524259751040992	0.6208305994416841	0.4903033877253086	0.4537457756220493	0.5286260561471726	0.117930153837928	0.6315611804736793	0.5839034364164304	0.6782439642329127	0.288282600983211	0.5461674453498424	0.5062932536683332	0.5859675915867627	0.6569575539504442	0.6129820049542476	0.6959240036092605	0.09341825902335456	0.15852301466868993	0.1555619930475087
all_cells_1000_atac	scATAC_powerlaw_v2	0.5741936845531505	0.5213777860947706	0.6217112518325306	0.5159373112789795	0.47505728668214736	0.5536580945548751	0.163531011970323	0.6526074933135558	0.6033519553072626	0.6991890082155666	0.353455091532093	0.5398149148541486	0.5020412713344594	0.5843478260869566	0.6794109837057385	0.6369763161013311	0.7224037312053494	0.09978768577494693	0.16459281740010118	0.16164542294322132
200_cells_all_atac	multiome_powerlaw_v2	0.573160034921686	0.528518319439402	0.6194014817147567	0.49889937341472923	0.46419364730547047	0.5362198078500205	0.107654077730686	0.6713410323566393	0.6250389740230096	0.722270502270714	0.314876887796906	0.5690877111707136	0.5295707068676695	0.6118449643372406	0.6529447916660414	0.604852560460423	0.6902667207232461	0.09554140127388536	0.17855336368234698	0.17477790652761685
1000_cells_4000_atac	scATAC_powerlaw_v2	0.5728799951545425	0.5220174485085881	0.6216983852771343	0.48633440583707793	0.45023176246292035	0.5278516994806158	0.141353851658389	0.6561671329183526	0.6114704889452588	0.7071136483009078	0.337544017742539	0.531516322849133	0.49267779117661237	0.5742938585944107	0.6473408735896525	0.6066121486372597	0.6899531408307041	0.11677282377919321	0.20576631259484066	0.20171881035148706
200_cells_20000_atac	scATAC_powerlaw_v2	0.5706988115745187	0.5191547504112803	0.6153165498860697	0.5019714274148988	0.4609845542592816	0.536644853021175	0.139093503375462	0.6636022465003337	0.6103130230723538	0.711314824179182	0.332026243704221	0.5440792997927404	0.5	0.5796081086330401	0.6526510075820459	0.6054393054618731	0.6932231492082737	0.10615711252653928	0.20647445624683863	0.20191193511008113
all_cells_1000_atac	multiome_powerlaw_v2_noTPMfilter	0.5697120152139031	0.5159818846585875	0.6126932242541485	0.5113173315808819	0.46972792013975934	0.5454613589139875	0.13285960897797	0.645657602640011	0.5993936631957387	0.695020626517805	0.313369081210359	0.5525222188462833	0.514088239484717	0.5917697278048166	0.6697670445340832	0.6251595525756484	0.7093277122657439	0.09978768577494693	0.16459281740010118	0.16164542294322132
all_cells_2000_atac	multiome_powerlaw_v2	0.5693476479539951	0.5231866542163324	0.6181706545952498	0.49681973439185395	0.4593771832132911	0.5393970284547396	0.118156372017314	0.6576150863810899	0.6051982213978847	0.7047079741227525	0.340341193274184	0.5438051154290613	0.5063959387707603	0.5839301005196816	0.6695200724314799	0.6270167408233909	0.7094793132089342	0.08917197452229299	0.1426403641881639	0.14020857473928158
1000_cells_4000_atac	multiome_powerlaw_v2_noTPMfilter	0.5690971674449454	0.5147794547524465	0.6118246505270354	0.4628439609922139	0.42640798407553565	0.5002683039001536	0.104001558965535	0.6374963705903836	0.5893554529009527	0.6850060913175294	0.292285987968257	0.5451061083614913	0.5067110768309524	0.5912620631253517	0.6268926133386713	0.5849285746249194	0.671875	0.11677282377919321	0.20576631259484066	0.20171881035148706
